ticker,PHO US Equity,CHIM US Equity,KCE US Equity,ICLN US Equity,SPGP US Equity,FIW US Equity,IHF US Equity,PBD US Equity,IAI US Equity,SMH US Equity,XMHQ US Equity,XSD US Equity,QCLN US Equity,PICK US Equity,EWY US Equity,ARKG US Equity,PSI US Equity,MXI US Equity,KORU US Equity,LIT US Equity,ARKK US Equity,UGE US Equity,FAN US Equity,COPX US Equity,ARKQ US Equity,GRID US Equity,RTM US Equity,PBW US Equity,FXZ US Equity,YLCO US Equity
2019-02-07,31.52,15.811,52.7428,9.4,50.33,48.41,180.78,11.7401,60.31,99.12,47.4514,73.62,19.6938,29.35,63.46,27.59,50.61,61.07,30.11,28.58,42.49,39.0864,12.7,20.28,33.1145,43.9221,101.58,25.5,37.2,12.2759
2019-02-08,31.84,15.95,52.4211,9.38,50.6,48.92,177.72,11.6653,60.13,98.85,47.4637,73.79,19.6631,29.14,62.67,27.78,50.52,60.65,28.97,28.34,42.99,39.6149,12.64,20.13,33.2771,43.6662,101.289,25.3353,37.14,12.3099
2019-02-11,31.79,16.005,52.7855,9.46,50.63,48.98,177.1946,11.6606,60.11,99.28,47.7552,74.24,19.89,29.09,62.75,28.13,50.8162,60.61,29.17,28.29,43.42,39.88,12.68,19.85,33.65,43.72,101.4207,25.67,37.4602,12.2831
2019-02-12,32.26,15.99,53.3634,9.54,51.435,49.68,179.92,11.795,60.89,101.49,48.3899,75.67,20.0391,29.45,63.52,28.54,51.92,61.55,30.2963,28.25,44.25,40.8504,12.765,19.94,34.375,44.1959,103.21,25.91,38.27,12.4704
2019-02-13,32.38,16.2909,53.5203,9.55,51.66,49.92,181.12,11.895,60.95,101.73,48.665,76.37,20.11,29.615,63.16,28.74,52.23,61.8,29.7,28.38,44.54,41.0498,12.81,20.13,34.55,44.4951,103.6,26.16,38.3914,12.4
2019-02-14,32.32,16.27,53.0766,9.64,51.68,49.76,181.8,11.95,60.34,102.03,48.6496,76.97,20.12,29.6029,63.55,28.65,52.6311,61.63,30.22,28.39,44.66,40.177,12.87,20.25,34.5507,44.87,103.3298,26.51,38.15,12.4522
2019-02-15,32.8,16.235,53.9137,9.6,52.03,50.5,185.5,11.94,61.16,102.55,49.05,77.37,20.24,29.92,63.41,29.0135,53.1107,62.53,29.93,28.66,45.19,40.666,12.89,20.54,34.93,45.1977,103.9857,26.37,38.65,12.4603
2019-02-19,32.82,16.595,54.2475,9.67,52.14,50.67,185.15,12.0672,61.56,102.43,49.216,77.21,20.44,30.27,63.65,29.05,52.77,63.03,30.37,28.93,45.22,40.8647,12.99,21.21,34.98,45.38,104.833,26.87,38.83,12.6
2019-02-20,32.97,17.03,54.4953,9.62,52.05,51.03,184.27,12.1249,61.54,103.36,49.3761,77.87,20.3388,30.89,64.17,29.45,53.39,63.88,31.12,29.16,45.59,40.9065,12.96,21.87,35.12,45.52,106.7232,27.09,39.4,12.45
2019-02-21,33.11,16.94,54.2314,9.68,51.88,51.0286,182.41,12.1597,61.2,102.72,49.26,77.62,20.4399,30.51,63.87,28.99,53.08,63.39,30.63,29.62,44.7,41.0874,12.965,21.62,34.66,45.17,106.41,27.17,39.14,12.5799
2019-02-22,33.36,17.0053,54.7166,9.77,52.4,51.48,183.34,12.3628,61.6084,104.18,49.3868,79.26,20.85,31.01,64.48,29.47,53.61,63.92,31.5,29.78,45.77,40.9669,13.03,22.25,35.11,45.4161,106.6783,28.2,39.38,12.6632
2019-02-25,33.65,17.5,54.7089,9.81,52.58,51.66,182.14,12.44,61.7492,105.13,49.57,79.9,21.07,31.16,64.69,30.5,54.15,64.04,31.73,30.42,46.39,40.729,13.04,22.52,35.3814,45.8174,107.1135,28.2,39.37,12.65
2019-02-26,33.5,17.56,54.8116,9.83,52.46,51.3,180.66,12.4687,61.77,104.45,49.2603,79.37,20.9231,31.29,64.5,30.34,53.64,64.26,31.53,30.24,46.04,40.7539,13.1102,22.58,35.2,45.6116,106.4389,28.19,39.12,12.72
2019-02-27,33.73,17.1284,54.9735,9.76,52.68,51.4615,176.39,12.418,61.91,103.38,49.3612,78.57,20.9545,31.14,64.35,31.18,52.9494,63.97,31.28,30.32,46.72,40.7518,13.04,22.19,35.34,45.84,106.57,28.21,39.1249,12.51
2019-02-28,33.49,17.015,54.8291,9.7,52.45,51.06,174.57,12.3539,61.77,103.33,49.1164,78.74,20.93,30.61,62.97,30.78,53.06,63.32,29.26,29.93,46.56,40.7867,12.99,21.82,35.28,45.3901,105.3,28.13,38.5898,12.5154
2019-03-01,33.66,17.275,55.3981,9.69,52.99,51.22,177.22,12.36,62.51,104.28,49.5248,79.6723,20.71,30.54,63.05,32.08,53.53,63.32,29.2948,29.72,46.8,41.0053,12.99,21.76,34.8655,45.3759,105.78,28.41,38.73,12.4262
2019-03-04,33.57,17.4255,54.8179,9.71,52.34,50.97,171.79,12.355,61.68,104.33,49.02,79.5,20.74,30.61,62.55,31.79,53.51,63.48,28.63,29.4,46.23,40.725,12.95,21.86,34.5256,45.09,106.02,28.09,38.78,12.4029
2019-03-05,33.44,17.43,54.6201,9.78,52.19,50.68,171.36,12.4187,61.24,103.84,49.2422,78.99,20.7,30.61,62.4,31.68,53.23,63.42,28.44,29.3,46.36,40.6356,13.015,21.85,34.5286,44.93,105.57,27.95,38.47,12.405
2019-03-06,33.12,17.485,53.8948,9.65,51.83,50.12,166.7,12.2,60.51,102.09,48.46,77.31,20.29,30.56,62.13,30.45,52.35,63.31,28.07,29.13,45.36,40.425,12.97,21.78,33.99,44.205,105.3445,26.96,38.2,12.36
2019-03-07,32.93,17.2741,52.9253,9.51,51.24,49.89,165.25,12.0014,59.49,100.98,48.1842,76.34,20.0331,30.23,61.09,30.51,51.77,62.49,26.65,28.54,44.57,40.1358,12.895,21.23,32.92,43.7446,104.03,26.77,37.79,12.4304
2019-03-08,32.91,16.6,52.7845,9.5,51.23,49.93,165.83,11.89,59.18,100.95,47.9449,76.37,20.03,29.835,60.69,30.58,51.61,62.46,26.16,28.29,44.86,39.9877,12.83,20.82,32.99,43.4561,103.9317,26.43,37.52,12.4149
2019-03-11,33.37,16.825,53.4603,9.72,51.977,50.7651,167.87,12.105,59.71,103.1,48.603,78.5,20.4948,30.34,61.29,31.78,52.86,63.35,26.8898,28.68,46.42,41.1094,12.99,21.16,33.82,44.1759,105.3449,27.34,38.13,12.58
2019-03-12,33.51,16.865,53.6399,9.8,52.0706,50.8,169.83,12.165,59.96,103.61,48.898999999999994,78.57,20.5371,30.43,61.64,32.13,52.87,63.5,27.4,28.5,46.55,40.9565,13.16,21.41,33.84,44.3398,105.8783,27.42,38.21,12.69
2019-03-13,33.65,16.84,53.9915,9.88,52.44,50.98,173.36,12.2447,60.34,104.03,49.199,78.9051,20.68,30.84,61.24,32.49,52.8939,64.08,26.82,28.66,46.94,41.4583,13.2,21.45,34.07,44.35,106.3226,27.58,38.33,12.735
2019-03-14,33.52,16.72,53.9959,9.83,52.55,50.72,173.51,12.175,60.48,103.45,49.2398,78.09,20.5895,30.56,60.85,32.17,52.49,63.5709,26.27,28.48,46.64,41.2125,13.23,21.25,34.0,44.1055,105.3579,27.53,37.88,12.7445
2019-03-15,33.73,16.8,54.1936,9.83,52.81,50.94300000000001,172.35,12.17,60.6499,106.22,49.1848,79.89,20.55,30.63,62.01,32.79,53.72,63.81,27.73,28.62,46.99,41.4466,13.21,21.36,33.9,44.5299,105.101,27.48,37.8204,12.7813
